date,season,rank,school
2019-11-12,2019-20,3,Oklahoma State
2019-11-12,2019-20,4,South Carolina
2019-11-12,2019-20,5,Texas A&M
2019-11-12,2019-20,6,Fresno State
2019-11-12,2019-20,7,TCU
2019-11-12,2019-20,8,SMU
2019-11-12,2019-20,9,UT Martin
2019-11-12,2019-20,10,Baylor
2019-11-19,2019-20,1,Auburn
2019-11-19,2019-20,2,Oklahoma State
2019-11-19,2019-20,3,Georgia
2019-11-19,2019-20,4,South Carolina
2019-11-19,2019-20,5,Fresno State
2019-11-19,2019-20,6,Texas A&M
2019-11-19,2019-20,7,TCU
2019-11-19,2019-20,8,SMU
2019-11-19,2019-20,9,Baylor
2019-11-19,2019-20,10,UT Martin
2019-11-26,2019-20,1,Auburn
2019-11-26,2019-20,2,Oklahoma State
2019-11-26,2019-20,3,Georgia
2019-11-26,2019-20,4,Fresno State
2019-11-26,2019-20,5,South Carolina
2019-11-26,2019-20,6,Texas A&M
2019-11-26,2019-20,7,SMU
2019-11-26,2019-20,8,TCU
2019-11-26,2019-20,9,Baylor
2019-11-26,2019-20,10,UT Martin
2020-02-04,2019-20,1,Auburn
2020-02-04,2019-20,2,Oklahoma State
2020-02-04,2019-20,3,Georgia
2020-02-04,2019-20,4,South Carolina
2020-02-04,2019-20,5,Texas A&M
2020-02-04,2019-20,6,Fresno State
2020-02-04,2019-20,7,TCU
2020-02-04,2019-20,8,SMU
2020-02-04,2019-20,9,Baylor
2020-02-04,2019-20,10,UT Martin
2020-02-11,2019-20,1,Auburn
2020-02-11,2019-20,2,Oklahoma State
2020-02-11,2019-20,3,South Carolina
2020-02-11,2019-20,4,Fresno State
2020-02-11,2019-20,5,Georgia
2020-02-11,2019-20,6,TCU
2020-02-11,2019-20,7,SMU
2020-02-11,2019-20,8,Texas A&M
2020-02-11,2019-20,9,Baylor
2020-02-11,2019-20,10,UT Martin
2020-02-18,2019-20,1,Auburn
2020-02-18,2019-20,2,Oklahoma State
2020-02-18,2019-20,3,South Carolina
2020-02-18,2019-20,4,Fresno State
2020-02-18,2019-20,5,Georgia
2020-02-18,2019-20,6,SMU
2020-02-18,2019-20,7,TCU
2020-02-18,2019-20,8,Texas A&M
2020-02-18,2019-20,9,Baylor
2020-02-18,2019-20,10,UT Martin
2020-02-25,2019-20,1,Auburn
2020-02-25,2019-20,2,Oklahoma State
2020-02-25,2019-20,3,South Carolina
2020-02-25,2019-20,4,SMU
2020-02-25,2019-20,5,Fresno State
2020-02-25,2019-20,6,Georgia
2020-02-25,2019-20,7,TCU
2020-02-25,2019-20,8,Texas A&M
2020-02-25,2019-20,9,Baylor
2020-02-25,2019-20,10,UC Davis
2020-03-03,2019-20,1,Auburn
2020-03-03,2019-20,2,Oklahoma State
2020-03-03,2019-20,3,SMU
2020-03-03,2019-20,4,South Carolina
2020-03-03,2019-20,5,Fresno State
2020-03-03,2019-20,6,Georgia
2020-03-03,2019-20,7,Texas A&M
2020-03-03,2019-20,8,TCU
2020-03-03,2019-20,9,Baylor
2020-03-03,2019-20,10,Delaware State
2020-03-10,2019-20,1,Auburn
2020-03-10,2019-20,2,Oklahoma State
2020-03-10,2019-20,3,South Carolina
2020-03-10,2019-20,4,Fresno State
2020-03-10,2019-20,5,SMU
2020-03-10,2019-20,6,Georgia
2020-03-10,2019-20,7,TCU
2020-03-10,2019-20,8,Texas A&M
2020-03-10,2019-20,9,Baylor
2020-03-10,2019-20,10,Delaware State
2020-10-14,2020-21,1,Auburn
2020-10-14,2020-21,2,Oklahoma State
2020-10-14,2020-21,3,South Carolina
2020-10-14,2020-21,4,Georgia
2020-10-14,2020-21,5,SMU
2020-10-14,2020-21,6,Fresno State
2020-10-14,2020-21,7,Texas A&M
2020-10-14,2020-21,8,TCU
2020-10-14,2020-21,9,Baylor
2020-10-14,2020-21,10,UC Davis
2020-11-18,2020-21,1,Auburn
2020-11-18,2020-21,2,Oklahoma State
2020-11-18,2020-21,3,South Carolina
2020-11-18,2020-21,4,Georgia
2020-11-18,2020-21,5,SMU
2020-11-18,2020-21,6,Fresno State
2020-11-18,2020-21,7,Texas A&M
2020-11-18,2020-21,8,TCU
2020-11-18,2020-21,9,Baylor
2020-11-18,2020-21,10,UC Davis
2021-02-02,2020-21,1,Auburn
2021-02-02,2020-21,2,Oklahoma State
2021-02-02,2020-21,3,SMU
2021-02-02,2020-21,4,South Carolina
2021-02-02,2020-21,5,Georgia
2021-02-02,2020-21,6,Texas A&M
2021-02-02,2020-21,7,TCU
2021-02-02,2020-21,8,Fresno State
2021-02-02,2020-21,9,Baylor
2021-02-02,2020-21,10,UC Davis
2021-02-09,2020-21,1,Auburn
2021-02-09,2020-21,2,Oklahoma State
2021-02-09,2020-21,3,Georgia
2021-02-09,2020-21,4,TCU
2021-02-09,2020-21,5,Texas A&M
2021-02-09,2020-21,6,Baylor
2021-02-09,2020-21,7,SMU
2021-02-09,2020-21,8,South Carolina
2021-02-09,2020-21,9,Fresno State
2021-02-09,2020-21,10,UC Davis
2021-02-17,2020-21,1,Auburn
2021-02-17,2020-21,2,Oklagoma State
2021-02-17,2020-21,3,Georgia
2021-02-17,2020-21,4,TCU
2021-02-17,2020-21,5,Texas A&M
2021-02-17,2020-21,6,Baylor
2021-02-17,2020-21,7,SMU
2021-02-17,2020-21,8,Fresno State
2021-02-17,2020-21,9,South Carolina
2021-02-17,2020-21,10,UC Davis
2021-02-23,2020-21,1,Auburn
2021-02-23,2020-21,2,TCU
2021-02-23,2020-21,3,Georgia
2021-02-23,2020-21,4,Texas A&M
2021-02-23,2020-21,5,Oklahoma State
2021-02-23,2020-21,6,Baylor
2021-02-23,2020-21,7,SMU
2021-02-23,2020-21,8,Fresno State
2021-02-23,2020-21,9,South Carolina
2021-02-23,2020-21,10,UC Davis
2021-03-02,2020-21,1,Auburn
2021-03-02,2020-21,2,TCU
2021-03-02,2020-21,3,Texas A&M
2021-03-02,2020-21,4,Georgia
2021-03-02,2020-21,5,Fresno State
2021-03-02,2020-21,6,Oklahoma State
2021-03-02,2020-21,7,Baylor
2021-03-02,2020-21,8,SMU
2021-03-02,2020-21,9,South Carolina
