Date,Away,Home,Location,Away_Score,Home_Score
2021-01-30,UT Martin,SMU,"Dallas, Texas",5,15
2021-01-30,Baylor,Texas A&M,"Bryan-College Station, Texas",9,9
2021-02-03,SMU,TCU,"Fort Worth, Texas",6,12
2021-02-06,TCU,Baylor,"Waco, Texas (Conf.)",9,10
2021-02-06,South Carolina,Georgia,"Bishop, Ga. (Conf.)",6,10
2021-02-06,South Carolina,Georgia,"Bishop, Ga. (Conf.)",6,10
2021-02-12,Minnesota-Crookston,UT Martin,"Martin, TN",1,9
2021-02-13,Auburn,Texas A&M,"Bryan-College Station, Texas (Conf.)",14,6
2021-02-13,Fresno State,UC Davis,"Davis, Calif.",10,9
2021-02-19,Sweet Briar College,Georgia,"Athens, GA (Conf.)",3,7
2021-02-21,Oklahoma State,TCU,"Forth Worth, Texas (Conf.)",5,14
2021-02-25,UC Davis,Fresno State,"Fresno, Calif.",8,12
2021-02-25,UC Davis,Fresno State,"Fresno, Calif.",8,12
2021-02-26,Delaware State,South Dakota State,"Brookings, S.D.",8,11
2021-02-27,Minnesota-Crookston,South Dakota State,"Brookings, S.D.",2,6
2021-02-27,Georgia,Auburn,"Auburn, Ala. (Conf.)",3,12
2021-02-27,Wilson College,Sweet Briar College,"Sweet Briar, Va.",1,7
2021-02-27,Texas A&M,South Carolina,"Blythewood, S.C. (Conf.)",10,9
2021-03-05,TCU,SMU,"Dallas, Texas",3,11
2021-03-05,Fresno State,TCU,"Dallas, Texas (Conf.)",8,8
2021-03-06,UT Martin,Delaware State,"Felton, Del.",9,9
2021-03-06,Georgia,Texas A&M,"Bryan-College Station, Texas (Conf.)",9,8
2021-03-06,Lynchburg,Sweet Briar College,"Auburn, Ala.",1,8
2021-03-06,Baylor,Oklahoma State,"Stillwater, Okla. (Conf.)",6,14
2021-03-06,Fresno State,SMU,"Dallas, Texas",3,12
2021-03-06,Sweet Briar College,Auburn,"Auburn, AL",2,8
2021-03-06,Lynchburg,Auburn,"Auburn, Ala.",1,9
2021-03-07,Fresno State,Baylor,"Forth Worth, Texas (Conf.)",9,6
2021-03-07,Oklahoma State,Fresno State,"Fort Worth, Texas (Conf.)",8,7
2021-03-11,Lynchburg,TCU,"Fort Worth, Texas",1,7
2021-03-11,Baylor,TCU,"Forth Worth, Texas",7,12
2021-03-11,UC Davis,Fresno State,"Fresno, Calif.",9,10
2021-03-12,Delaware State,UT Martin,"Martin, Tenn.",6,13
2021-03-12,Lynchburg,SMU,"Dallas, Texas",3,5
2021-03-12,Delaware State,UT Martin,"Martin, Tenn.",6,13
2021-03-13,Baylor,SMU,"Dallas, Texas",8,12
2021-03-13,South Carolina,Auburn,"Auburn, Ala. (Conf.)",5,13
2021-03-13,TCU,Oklahoma State,"Stillwater, Okla.",14,5
2021-03-13,Fresno State,UC Davis,"Davis, Calif.",8,8
2021-03-14,Oklahoma State,Baylor,"Waco, Texas",11,8
2021-03-19,Wilson College,Sweet Briar College,"Sweet Briar, Va.",2,6
2021-03-20,Delaware State,Sweet Briar College,"Sweet Briar, Va.",2,7
2021-03-20,Wilson College,Delaware State,"Sweet Briar, Va.",1,6
2021-03-25,UC Davis,Delaware State,"Martin, Tenn.",7,9
2021-03-26,Texas A&M,Georgia,"Bishop, Ga.",10,10
2021-03-26,Delaware State,SMU,"Martin, Tenn.",5,9
2021-03-26,South Dakota State,UT Martin,"Martin, Tenn.",2,14
2021-03-26,Oklahoma State,Baylor,"Waco, Texas",12,8
2021-03-26,TCU,Fresno State,"Waco, Texas",15,4
2021-03-26,Auburn,South Carolina,"Bishop, Ga.",13,6
2021-03-27,Texas A&M,South Carolina,"Bishop, Ga.",11,9
2021-03-27,Fresno State,Baylor,"Waco, Texas",7,13
2021-03-27,TCU,Oklahoma State,"Waco, Texas",9,11
2021-03-27,SMU,UT Martin,"Martin, Tenn.",11,4
2021-03-27,Auburn,Georgia,"Bishop, Ga.",15,5
2021-04-15,Auburn,Baylor,"Waco, Texas",7,8
2021-04-15,Oklahoma State,Fresno State,"Waco, Texas",10,6
2021-04-15,SMU,Texas A&M,"Waco, Texas",7,7
2021-04-15,Georgia,TCU,"Waco, Texas",10,6
2021-04-16,Georgia,Oklahoma State,"Waco, Texas",10,6
2021-04-16,Baylor,SMU,"Waco, Texas",6,8
2021-04-17,SMU,Georgia,"Waco, Texas",7,9
2021-04-17,Lynchburg,Sweet Briar College,"Waco, Texas",2,6
2021-09-18,Lynchburg,SUNY New Paltz,"New Paltz, N.Y. (Conf.)",6,4
2021-09-24,Baylor,UT Martin,"Martin, Tenn.",13,6
2021-09-24,SUNY New Paltz,Delaware State,"Felton, Del. (Conf.)",5,3
2021-09-25,SUNY New Paltz,Sacred Heart,"Dover, DE (Conf.)",3,5
2021-09-25,Texas A&M,South Dakota State,"Brookings, S.D.",11,8
2021-09-25,Sacred Heart,Delaware State,"Felton, Del. (Conf.)",2,6
2021-09-26,Bridgewater College,Lynchburg,"Lynchburg, Va. (Conf.)",3,5
2021-09-30,South Carolina,UC Davis,"Davis, Calif.",6,11
2021-10-01,UT Martin,Delaware State,"Felton, Del. (Conf.)",7,13
2021-10-01,South Carolina,Fresno State,"Fresno, Calif.",9,10
2021-10-01,TCU,South Carolina,"Fresno, CA",8,7
2021-10-02,SMU,UT Martin,"Dover, Del. (Conf.)",6,9
2021-10-02,SMU,Delaware State,"Dover, Del. (Conf.)",7,13
2021-10-02,TCU,Fresno State,"Fresno, Calif. (Conf.)",9,10
2021-10-02,South Carolina,TCU,"Fresno, Calif.",7,8
2021-10-02,SMU,Delaware State,"Felton, Del. (Conf.)",8,7
2021-10-03,TCU,UC Davis,"Davis, Calif.",11,9
2021-10-08,SMU,TCU,"Fort Worth, Texas",11,9
2021-10-08,Oklahoma State,Baylor,"Waco, Texas (Conf.)",10,9
2021-10-08,Georgia,Auburn,"Auburn, Ala. (Conf.)",7,13
2021-10-15,UT Martin,South Dakota State,"Brookings, SD (Conf.)",10,8
2021-10-15,Texas A&M,Baylor,"Waco, Texas",7,12
2021-10-15,Auburn,Oklahoma State,"Stillwater, Okla.",9,10
2021-10-16,Auburn,SMU,"Dallas, Texas",11,7
2021-10-22,Texas A&M,South Carolina,"Blythewood, S.C. (Conf.)",10,8
2021-10-22,Fresno State,Georgia,"Athens, Ga.",3,16
2021-10-22,Lynchburg,Auburn,"Auburn, Ala.",1,9
2021-10-23,Lynchburg,Fresno State,"Auburn, Ala.",4,4
2021-10-23,Fresno State,Auburn,"Auburn, Ala.",5,13
2021-10-23,TCU,Oklahoma State,"Stillwater, Okla. (Conf.)",6,12
2021-10-28,TCU,South Dakota State,"Brookings, S.D.",7,7
2021-10-28,Lynchburg,Delaware State,"Felton, Del. (Conf.)",4,4
2021-10-28,Minnesota-Crookston,South Dakota State,"Brookings, S.D. (Conf.)",1,15
2021-10-29,Minnesota-Crookston,TCU,"Brookings, S.D.",1,15
2021-10-29,Lynchburg,Sweet Briar College,"Felton, Del. (Conf.)",3,5
