Date,Away,Home,Location,Away_Score,Home_Score
2014-09-25,UT Martin,Texas A&M,"College Station, TX",2,18
2014-09-25,Texas A&M,UT Martin,"College Station, TX",18,2
2014-09-25,New Mexico State,Kansas State,"Manhattan, KS",5,14
2014-09-25,Kansas State,New Mexico State,"Manhattan, KS",14,5
2014-09-26,South Dakota State,New Mexico State,"Manhattan, KS",7,7
2014-09-26,New Mexico State,South Dakota State,"Manhattan, KS",7,7
2014-09-26,SMU,Fresno State,"Waco, Texas",7,6
2014-09-26,Fresno State,SMU,"Waco, Texas",6,7
2014-09-26,South Dakota State,Kansas State,"Manhattan, KS",6,13
2014-09-26,Kansas State,South Dakota State,"Manhattan, KS",13,6
2014-09-26,UT Martin,Baylor,"Waco, TX",7,9
2014-09-26,Baylor,UT Martin,"Waco, TX",9,7
2014-09-27,UT Martin,SMU,"Waco, Texas",8,8
2014-09-27,SMU,UT Martin,"Waco, Texas",8,8
2014-09-27,Fresno State,Baylor,"Waco, Texas",6,10
2014-09-27,Baylor,Fresno State,"Waco, Texas",10,6
2014-09-27,UT Martin,Fresno State,"Waco, Texas",8,6
2014-09-27,Fresno State,UT Martin,"Waco, Texas",6,8
2014-09-27,SMU,Baylor,"Waco, Texas",1,14
2014-09-27,Baylor,SMU,"Waco, Texas",14,1
2014-09-27,South Dakota State,Oklahoma State,"Stillwater, OK",4,16
2014-09-27,Oklahoma State,South Dakota State,"Stillwater, OK",16,4
2014-10-03,TCU,Delaware State,"Dover, DE",12,3
2014-10-03,Delaware State,TCU,"Dover, DE",3,12
2014-10-03,Georgia,South Carolina,"Blythewood, SC",11,9
2014-10-03,South Carolina,Georgia,"Blythewood, SC",9,11
2014-10-04,Texas A&M,SMU,"Dallas, TX",7,13
2014-10-04,SMU,Texas A&M,"Dallas, TX",13,7
2014-10-10,South Carolina,Auburn,"Auburn, AL",10,9
2014-10-10,Auburn,South Carolina,"Auburn, AL",9,10
2014-10-17,New Mexico State,UT Martin,"Las Cruces, NM",6,14
2014-10-17,UT Martin,New Mexico State,"Las Cruces, NM",14,6
2014-10-17,UT Martin,Fresno State,"Las Cruces, NM",6,8
2014-10-17,Fresno State,UT Martin,"Las Cruces, NM",8,6
2014-10-18,Fresno State,New Mexico State,"Las Cruces, NM",8,10
2014-10-18,New Mexico State,Fresno State,"Las Cruces, NM",10,8
2014-10-18,Oklahoma State,Baylor,"Waco, TX",7,9
2014-10-18,Baylor,Oklahoma State,"Waco, TX",9,7
2014-10-24,TCU,Baylor,"Waco, TX",8,11
2014-10-24,Baylor,TCU,"Waco, TX",11,8
2014-10-25,Georgia,Baylor,"Waco, TX",6,13
2014-10-25,Baylor,Georgia,"Waco, TX",13,6
2014-10-25,South Dakota State,Texas A&M,"College Station, TX",4,15
2014-10-25,Texas A&M,South Dakota State,"College Station, TX",15,4
2014-10-26,Georgia,SMU,"Dallas, TX",9,9
2014-10-26,SMU,Georgia,"Dallas, TX",9,9
2014-10-31,New Mexico State,South Dakota State,"Brookings, SD",11,8
2014-10-31,South Dakota State,New Mexico State,"Brookings, SD",8,11
2014-10-31,Texas A&M,South Carolina,"Blythewood, SC",8,12
2014-10-31,South Carolina,Texas A&M,"Blythewood, SC",12,8
2014-11-01,SMU,South Dakota State,"Brookings, SD",9,9
2014-11-01,South Dakota State,SMU,"Brookings, SD",9,9
2014-11-01,New Mexico State,SMU,"Brookings, SD",9,7
2014-11-01,SMU,New Mexico State,"Brookings, SD",7,9
2014-11-01,Oklahoma State,TCU,"Springtown, TX",7,11
2014-11-01,TCU,Oklahoma State,"Springtown, TX",11,7
2014-11-07,South Carolina,Fresno State,"Fresno, CA",13,6
2014-11-07,Fresno State,South Carolina,"Fresno, CA",6,13
2014-11-07,Texas A&M,Auburn,"Auburn, AL",9,11
2014-11-07,Auburn,Texas A&M,"Auburn, AL",11,9
2014-11-08,Oklahoma State,Kansas State,"Manhattan, KS",7,12
2014-11-08,Kansas State,Oklahoma State,"Manhattan, KS",12,7
2014-11-14,UT Martin,South Dakota State,"Dover, DE",10,10
2014-11-14,South Dakota State,UT Martin,"Dover, DE",10,10
2014-11-14,UT Martin,Delaware State,"Dover, DE",10,8
2014-11-14,Delaware State,UT Martin,"Dover, DE",8,10
2014-11-14,Kansas State,TCU,"Springtown, TX",5,13
2014-11-14,TCU,Kansas State,"Springtown, TX",13,5
2014-11-14,Auburn,Georgia,"Bishop, GA",6,13
2014-11-14,Georgia,Auburn,"Bishop, GA",13,6
2014-11-15,South Dakota State,Delaware State,"Dover, DE",9,9
2014-11-15,Delaware State,South Dakota State,"Dover, DE",9,9
2014-11-15,Kansas State,Baylor,"Waco, TX",7,13
2014-11-15,Baylor,Kansas State,"Waco, TX",13,7
2014-11-21,Baylor,Delaware State,"Dover, DE",14,6
2014-11-21,Delaware State,Baylor,"Dover, DE",6,14
2014-11-21,South Carolina,Oklahoma State,"Stillwater, OK",12,8
2014-11-21,Oklahoma State,South Carolina,"Stillwater, OK",8,12
2014-11-21,Kansas State,Auburn,"Fresno, CA",10,6
2014-11-21,Auburn,Kansas State,"Fresno, CA",6,10
2014-11-22,Kansas State,Fresno State,"Fresno, CA",8,12
2014-11-22,Fresno State,Kansas State,"Fresno, CA",12,8
2014-11-22,Kansas State,Auburn,"Fresno, CA",8,9
2014-11-22,Auburn,Kansas State,"Fresno, CA",9,8
2014-11-22,Georgia,Texas A&M,"College Station, TX",7,11
2014-11-22,Texas A&M,Georgia,"College Station, TX",11,7
