"Name","Position","Team","GP","GS","MIN","PTS","OR","DR","REB","AST","STL","BLK","TO","PF","AST/TO","PER","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","2PM","2PA","2P%","SC-EFF","SH-EFF"
"Ja Morant","PG","mem",57,57,33.1,27.4,1.4,4.4,5.7,6.7,1.2,0.4,3.4,1.5,2,24.53,10.2,20.6,49.3,1.5,4.5,34.4,5.5,7.3,76.1,8.6,16.2,53.4,1.329,0.53
"Dillon Brooks","SF","mem",32,31,27.7,18.4,0.9,2.3,3.2,2.8,1.1,0.3,1.6,3.3,1.8,15.55,7.1,16.4,43.2,1.4,4.7,30.9,2.8,3.3,84.9,5.7,11.8,48,1.122,0.48
"Desmond Bane","SG","mem",76,76,29.8,18.2,0.6,3.8,4.4,2.7,1.2,0.4,1.5,2.6,1.9,17.62,6.7,14.5,46.1,3,6.9,43.6,1.8,2,90.3,3.7,7.6,48.4,1.257,0.56
"Jaren Jackson Jr.","PF","mem",78,78,27.3,16.3,1.5,4.3,5.8,1.1,0.9,2.3,1.7,3.5,0.7,17.09,5.5,13.3,41.5,1.6,5.1,31.9,3.6,4.4,82.3,3.9,8.1,47.6,1.228,0.48
"De'Anthony Melton","SG","mem",73,15,22.7,10.8,0.9,3.6,4.5,2.7,1.4,0.5,1.5,1.8,1.7,15.23,3.8,9.5,40.4,1.9,5.1,37.4,1.2,1.6,75,1.9,4.4,44,1.138,0.5
"Brandon Clarke","PF","mem",64,1,19.5,10.4,2.1,3.2,5.3,1.3,0.6,1.1,0.5,1.9,2.5,23.75,4.5,7,64.4,0.1,0.3,22.7,1.3,2,65.4,4.4,6.6,66.6,1.49,0.65
"Tyus Jones","PG","mem",73,23,21.2,8.7,0.2,2.2,2.4,4.4,0.9,0,0.6,0.4,7,16.55,3.4,7.6,45.1,1.1,2.8,39,0.7,0.9,81.8,2.3,4.8,48.7,1.145,0.52
"Ziaire Williams","SG","mem",62,31,21.7,8.1,0.4,1.7,2.1,1,0.6,0.2,0.7,1.8,1.6,9.7,3.1,6.8,45,1.2,3.9,31.4,0.7,0.9,78.2,1.9,2.9,63.2,1.182,0.54
"Kyle Anderson","SF","mem",69,11,21.5,7.6,1,4.3,5.3,2.7,1.1,0.7,1,1.6,2.6,14.49,3,6.8,44.6,0.5,1.6,33,1,1.5,63.8,2.5,5.2,48.1,1.111,0.48
"Steven Adams","C","mem",76,75,26.3,6.9,4.6,5.4,10,3.4,0.9,0.8,1.5,2,2.2,17.6,2.8,5.1,54.7,0,0,0,1.4,2.6,54.3,2.8,5,54.8,1.375,0.55
"John Konchar","SG","mem",72,7,17.9,4.8,1.2,3.4,4.6,1.5,0.6,0.3,0.4,1.3,3.8,13.98,1.9,3.6,51.5,0.7,1.8,41.3,0.4,0.7,55.1,1.2,1.9,61,1.332,0.61
"Xavier Tillman","C","mem",53,2,13.2,4.8,1.2,1.8,3,1.2,0.9,0.3,0.6,1.2,1.8,15.18,1.8,4.1,45.4,0.2,0.9,20.4,0.9,1.3,64.8,1.7,3.2,52.7,1.167,0.48
"Sam Merrill","SG","mem",6,0,9.7,4.2,0.2,1,1.2,0.7,0,0,0.3,0.5,2,7.52,1.3,4,33.3,1.2,3.8,30.4,0.3,0.7,50,0.2,0.2,100,1.042,0.48
"Santi Aldama","PF","mem",32,0,11.3,4.1,1,1.7,2.7,0.7,0.2,0.3,0.5,1.1,1.3,10.26,1.7,4.1,40.2,0.2,1.5,12.5,0.6,1,62.5,1.5,2.6,56,1,0.42
"Jarrett Culver","G","mem",37,0,9.1,3.5,0.4,0.9,1.3,0.9,0.5,0.1,0.5,1.1,1.7,8.72,1.4,3.6,37.8,0.3,1.3,25.5,0.4,0.9,47.1,1.1,2.4,44.3,0.963,0.42
"Killian Tillie","SF","mem",36,3,12.8,3.3,0.6,1.1,1.7,0.6,0.6,0.4,0.4,1.6,1.7,7.64,1.2,3.5,33.9,0.8,2.4,31.4,0.1,0.2,62.5,0.4,1.1,39,0.929,0.44
"Yves Pons","SG","mem",12,0,5.9,1.1,0.4,0.6,1,0.1,0.1,0.3,0.1,0.5,1,5.91,0.4,1.3,31.3,0.3,0.8,33.3,0,0.2,0,0.2,0.6,28.6,0.813,0.41
"Dakota Mathias","G","mem",6,0,2.7,1,0,0.3,0.3,0.2,0.2,0,0,0.2,Inf,11.04,0.3,1,33.3,0.3,1,33.3,0,0,0,0,0,0,1,0.5
"Shaq Buchanan","F","mem",2,0,5,1,0.5,0.5,1,1,0.5,0,1,0.5,1,0.62,0.5,2,25,0,1,0,0,0,0,0.5,1,50,0.5,0.25
"Tyrell Terry","PG","mem",2,0,1.5,1,0,0,0,0,0,0,0,0.5,0,20.07,0.5,0.5,100,0,0,0,0,0,0,0.5,0.5,100,2,1
"DaQuan Jeffries","SG","mem",3,0,3,0.7,0,0.7,0.7,0.3,0,0,0,0.3,Inf,8.38,0.3,0.7,50,0,0.3,0,0,0,0,0.3,0.3,100,1,0.5
"Xavier Sneed","F","mem",2,0,4,0,0.5,0.5,1,0,0,0,0,1,0,-7.05,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Jon Teske","C","mem",3,0,2.7,0,0,0.7,0.7,0.3,0.3,0,0,0.3,Inf,1.5,0,0.3,0,0,0,0,0,0.7,0,0,0.3,0,0,0
"Jimmy Butler","SF","mia",57,57,33.9,21.4,1.8,4.1,5.9,5.5,1.6,0.5,2.1,1.5,2.6,23.65,7,14.5,48,0.5,2,23.3,6.9,8,87,6.5,12.5,52,1.47,0.5
"Tyler Herro","PG","mia",66,10,32.6,20.7,0.5,4.5,5,4,0.7,0.1,2.6,1.4,1.5,16.3,7.6,17,44.7,2.7,6.7,39.9,2.9,3.3,86.8,4.9,10.3,47.7,1.218,0.52
"Bam Adebayo","C","mia",56,56,32.6,19.1,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,1.3,21.91,7.3,13,55.7,0,0.1,0,4.6,6.1,75.3,7.3,12.9,56.2,1.465,0.56
"Kyle Lowry","PG","mia",63,63,33.9,13.4,0.5,4,4.5,7.5,1.1,0.3,2.7,2.8,2.8,15.02,4.4,10,44,2.3,6.1,37.7,2.3,2.8,85.1,2.1,3.9,53.9,1.346,0.56
"Victor Oladipo","SG","mia",8,1,21.6,12.4,0.4,2.5,2.9,3.5,0.6,0.1,2,1.6,1.8,16.86,4.4,9.1,47.9,1.9,4.5,41.7,1.8,2.4,73.7,2.5,4.6,54.1,1.356,0.58
