player,year,greens,holes,cut
Michael Kim,2019,318,438,Fairway
Michael Kim,2019,22,43,Bunker
Michael Thompson,2019,118,248,Other
Michael Thompson,2019,501,685,Fairway
Michael Thompson,2019,31,58,Bunker
Nate Lashley,2019,139,278,Other
Nate Lashley,2019,491,620,Fairway
Nate Lashley,2019,29,53,Bunker
Nick Taylor,2019,235,425,Other
Nick Taylor,2019,637,800,Fairway
Nick Taylor,2019,32,72,Bunker
Nick Watney,2019,218,402,Other
Nick Watney,2019,554,686,Fairway
Nick Watney,2019,32,69,Bunker
Ollie Schniederjans,2019,235,468,Other
Ollie Schniederjans,2019,394,508,Fairway
Ollie Schniederjans,2019,43,72,Bunker
Pat Perez,2019,120,267,Other
Pat Perez,2019,421,566,Fairway
Pat Perez,2019,18,34,Bunker
Patrick Cantlay,2019,206,384,Other
Patrick Cantlay,2019,459,578,Fairway
Patrick Cantlay,2019,22,46,Bunker
Patrick Reed,2019,226,419,Other
Patrick Reed,2019,582,741,Fairway
Patrick Reed,2019,39,73,Bunker
Patrick Rodgers,2019,148,271,Other
Patrick Rodgers,2019,297,407,Fairway
Patrick Rodgers,2019,13,33,Bunker
Patton Kizzire,2019,183,364,Other
Patton Kizzire,2019,462,629,Fairway
Patton Kizzire,2019,20,43,Bunker
Paul Casey,2019,181,294,Other
Paul Casey,2019,558,710,Fairway
Paul Casey,2019,23,45,Bunker
Peter Malnati,2019,248,455,Other
Peter Malnati,2019,471,632,Fairway
Peter Malnati,2019,29,70,Bunker
Peter Uihlein,2019,265,481,Other
Peter Uihlein,2019,436,550,Fairway
Peter Uihlein,2019,34,57,Bunker
Phil Mickelson,2019,195,382,Other
Phil Mickelson,2019,336,426,Fairway
Phil Mickelson,2019,19,31,Bunker
Rafa Cabrera Bello,2019,143,299,Other
Rafa Cabrera Bello,2019,452,611,Fairway
Rafa Cabrera Bello,2019,17,37,Bunker
Richy Werenski,2019,213,389,Other
Richy Werenski,2019,536,710,Fairway
Richy Werenski,2019,25,60,Bunker
Rickie Fowler,2019,192,363,Other
Rickie Fowler,2019,508,645,Fairway
Rickie Fowler,2019,33,56,Bunker
Robert Streb,2019,191,346,Other
Robert Streb,2019,470,613,Fairway
Robert Streb,2019,19,47,Bunker
Roberto Castro,2019,139,285,Other
Roberto Castro,2019,530,677,Fairway
Roberto Castro,2019,12,41,Bunker
Roberto Díaz,2019,137,263,Other
Roberto Díaz,2019,463,614,Fairway
Roberto Díaz,2019,11,28,Bunker
Rod Pampling,2019,118,234,Other
Rod Pampling,2019,333,455,Fairway
Rod Pampling,2019,16,36,Bunker
Roger Sloan,2019,189,376,Other
Roger Sloan,2019,558,724,Fairway
Roger Sloan,2019,31,71,Bunker
Rory McIlroy,2019,177,336,Other
Rory McIlroy,2019,463,591,Fairway
Rory McIlroy,2019,15,29,Bunker
Rory Sabbatini,2019,215,366,Other
Rory Sabbatini,2019,648,868,Fairway
Rory Sabbatini,2019,26,63,Bunker
Russell Henley,2019,120,249,Other
Russell Henley,2019,518,676,Fairway
Russell Henley,2019,21,50,Bunker
Russell Knox,2019,159,297,Other
Russell Knox,2019,513,661,Fairway
Russell Knox,2019,23,45,Bunker
Ryan Armour,2019,136,291,Other
Ryan Armour,2019,730,947,Fairway
Ryan Armour,2019,14,45,Bunker
Ryan Blaum,2019,183,366,Other
Ryan Blaum,2019,542,715,Fairway
Ryan Blaum,2019,31,63,Bunker
Ryan Moore,2019,112,212,Other
Ryan Moore,2019,587,781,Fairway
Ryan Moore,2019,21,41,Bunker
Ryan Palmer,2019,174,308,Other
Ryan Palmer,2019,431,560,Fairway
Ryan Palmer,2019,34,55,Bunker
Sam Burns,2019,194,420,Other
Sam Burns,2019,487,622,Fairway
Sam Burns,2019,23,46,Bunker
Sam Ryder,2019,160,310,Other
Sam Ryder,2019,496,640,Fairway
Sam Ryder,2019,28,56,Bunker
Sam Saunders,2019,196,387,Other
Sam Saunders,2019,452,583,Fairway
Sam Saunders,2019,23,61,Bunker
Sangmoon Bae,2019,144,261,Other
Sangmoon Bae,2019,338,463,Fairway
Sangmoon Bae,2019,13,29,Bunker
Satoshi Kodaira,2019,120,255,Other
Satoshi Kodaira,2019,447,606,Fairway
Satoshi Kodaira,2019,16,35,Bunker
Scott Brown,2019,168,338,Other
Scott Brown,2019,568,749,Fairway
Scott Brown,2019,29,58,Bunker
Scott Langley,2019,138,284,Other
Scott Langley,2019,500,713,Fairway
Scott Langley,2019,12,36,Bunker
Scott Piercy,2019,181,327,Other
Scott Piercy,2019,639,816,Fairway
Scott Piercy,2019,32,64,Bunker
Scott Stallings,2019,200,396,Other
Scott Stallings,2019,516,641,Fairway
Scott Stallings,2019,22,50,Bunker
Seamus Power,2019,194,390,Other
Seamus Power,2019,429,566,Fairway
Seamus Power,2019,21,50,Bunker
Sebastián Muñoz,2019,219,396,Other
Sebastián Muñoz,2019,539,668,Fairway
Sebastián Muñoz,2019,24,53,Bunker
Sepp Straka,2019,185,330,Other
Sepp Straka,2019,513,641,Fairway
Sepp Straka,2019,14,32,Bunker
Sergio Garcia,2019,120,230,Other
Sergio Garcia,2019,266,360,Fairway
Sergio Garcia,2019,14,22,Bunker
Seth Reeves,2019,206,365,Other
Seth Reeves,2019,413,535,Fairway
Seth Reeves,2019,13,35,Bunker
Shawn Stefani,2019,208,363,Other
Shawn Stefani,2019,510,656,Fairway
Shawn Stefani,2019,26,41,Bunker
Si Woo Kim,2019,199,374,Other
Si Woo Kim,2019,539,722,Fairway
Si Woo Kim,2019,23,51,Bunker
Stephan Jaeger,2019,192,364,Other
Stephan Jaeger,2019,445,590,Fairway
Stephan Jaeger,2019,17,37,Bunker
Sung Kang,2019,195,396,Other
Sung Kang,2019,568,711,Fairway
Sung Kang,2019,27,64,Bunker
Sungjae Im,2019,276,478,Other
Sungjae Im,2019,805,1078,Fairway
Sungjae Im,2019,42,91,Bunker
Talor Gooch,2019,168,275,Other
Talor Gooch,2019,355,443,Fairway
Talor Gooch,2019,14,37,Bunker
"Ted Potter, Jr.",2019,180,315,Other
"Ted Potter, Jr.",2019,473,629,Fairway
"Ted Potter, Jr.",2019,27,51,Bunker
Tom Hoge,2019,206,416,Other
Tom Hoge,2019,602,777,Fairway
Tom Hoge,2019,26,64,Bunker
Tommy Fleetwood,2019,152,279,Other
Tommy Fleetwood,2019,436,573,Fairway
Tommy Fleetwood,2019,19,43,Bunker
Tony Finau,2019,254,456,Other
Tony Finau,2019,527,669,Fairway
Tony Finau,2019,28,50,Bunker
Trey Mullinax,2019,247,434,Other
Trey Mullinax,2019,430,519,Fairway
Trey Mullinax,2019,25,64,Bunker
Troy Merritt,2019,132,245,Other
Troy Merritt,2019,436,570,Fairway
Troy Merritt,2019,23,43,Bunker
Tyler Duncan,2019,155,307,Other
Tyler Duncan,2019,616,807,Fairway
Tyler Duncan,2019,20,45,Bunker
Tyrrell Hatton,2019,130,249,Other
Tyrrell Hatton,2019,391,510,Fairway
Tyrrell Hatton,2019,25,51,Bunker
Vaughn Taylor,2019,160,323,Other
Vaughn Taylor,2019,665,876,Fairway
Vaughn Taylor,2019,35,70,Bunker
Webb Simpson,2019,158,330,Other
Webb Simpson,2019,553,731,Fairway
Webb Simpson,2019,16,33,Bunker
Wes Roach,2019,142,279,Other
Wes Roach,2019,440,581,Fairway
Wes Roach,2019,12,21,Bunker
Whee Kim,2019,151,328,Other
Whee Kim,2019,465,599,Fairway
Whee Kim,2019,19,38,Bunker
Wyndham Clark,2019,267,473,Other
Wyndham Clark,2019,517,668,Fairway
Wyndham Clark,2019,19,44,Bunker
Xander Schauffele,2019,192,350,Other
Xander Schauffele,2019,499,627,Fairway
Xander Schauffele,2019,31,63,Bunker
Zach Johnson,2019,106,248,Other
Zach Johnson,2019,430,594,Fairway
Zach Johnson,2019,25,50,Bunker
Aaron Baddeley,2020,119,227,Other
Aaron Baddeley,2020,297,391,Fairway
Aaron Baddeley,2020,16,39,Bunker
Aaron Wise,2020,123,217,Other
Aaron Wise,2020,311,377,Fairway
Aaron Wise,2020,17,35,Bunker
Abraham Ancer,2020,160,318,Other
Abraham Ancer,2020,516,665,Fairway
Abraham Ancer,2020,19,49,Bunker
Adam Hadwin,2020,133,274,Other
Adam Hadwin,2020,465,584,Fairway
Adam Hadwin,2020,22,47,Bunker
Adam Long,2020,217,401,Other
Adam Long,2020,610,769,Fairway
Adam Long,2020,26,61,Bunker
Adam Schenk,2020,193,350,Other
Adam Schenk,2020,500,642,Fairway
Adam Schenk,2020,18,39,Bunker
Adam Scott,2020,115,219,Other
Adam Scott,2020,242,293,Fairway
Adam Scott,2020,8,16,Bunker
